epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,777.588,1.93087,3.14157,1.32868,0.24391,0.22764,0.153,0.07064,1.95173,3.68735,1.69906,0.00331288,0.00331288,0.00331288
2,1557.02,1.8699,2.2821,1.27317,0.26057,0.27932,0.19822,0.08983,1.94278,3.43039,1.70437,0.00663964,0.00663964,0.00663964
3,2340.09,1.90675,2.15386,1.27681,0.26374,0.25504,0.21903,0.09798,2.07979,3.6666,1.74191,0.00995979,0.00995979,0.00995979
4,3121.47,1.91545,2.03668,1.27655,0.28202,0.25616,0.20836,0.09684,2.15842,3.54425,1.80381,0.0099703,0.0099703,0.0099703
5,4000.94,1.87673,1.92073,1.25878,0.3137,0.2507,0.19786,0.09888,2.11182,3.17948,1.82875,0.0099604,0.0099604,0.0099604
6,5245.91,1.8403,1.86329,1.25344,0.34877,0.31262,0.25238,0.11513,2.06279,3.05351,1.71594,0.0099505,0.0099505,0.0099505
7,6257.42,1.83704,1.78621,1.2385,0.34039,0.35871,0.27755,0.124,2.09045,2.60276,1.74273,0.0099406,0.0099406,0.0099406
8,7171.1,1.79356,1.73064,1.23355,0.32581,0.3324,0.2566,0.11765,2.02886,3.30508,1.72404,0.0099307,0.0099307,0.0099307
9,7875.36,1.77171,1.69373,1.22166,0.38612,0.36636,0.32865,0.15428,1.9077,2.51126,1.69318,0.0099208,0.0099208,0.0099208
10,8584.68,1.75538,1.61645,1.21068,0.37708,0.3118,0.29559,0.14022,1.95243,2.62838,1.64489,0.0099109,0.0099109,0.0099109
11,9296.17,1.73715,1.57035,1.18738,0.38811,0.36527,0.32355,0.15535,1.89782,2.44248,1.61731,0.009901,0.009901,0.009901
12,10007.8,1.7182,1.54158,1.18113,0.4182,0.34701,0.32174,0.15516,1.9531,2.34379,1.67319,0.0098911,0.0098911,0.0098911
13,10719.8,1.68431,1.51476,1.18408,0.46442,0.34371,0.34742,0.16973,1.85655,2.3247,1.5839,0.0098812,0.0098812,0.0098812
